time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-02-27T12:35:39.680Z,31.62408161,-104.2639767,6.131567383,3.1,ml,41,66,0.1265348775,0.2,tx,tx2023ebcp,2023-02-27T17:06:25.369Z,"56 km NW of Toyah, Texas",earthquake,0.7088927600000001,0.8427382269,0.2,24,reviewed,tx,tx
2023-02-27T11:34:09.214Z,44.6331,-113.6822,13.303,3,ml,29,72,0.625,0.62,us,us6000jrx0,2023-02-27T21:11:49.762Z,"26 km WSW of Leadore, Idaho",earthquake,3.28,7.086,0.042,74,reviewed,us,us
2023-02-27T10:53:03.926Z,31.65806694,-104.3091755,9.036572266,2.5,ml,30,58,0.1047671324,0.3,tx,tx2023eazf,2023-02-28T07:48:30.040Z,"57 km S of Whites City, New Mexico",earthquake,0.74183279,1.267264624,0.1,16,reviewed,tx,tx
2023-02-27T09:05:22.468Z,31.64014802,-104.1779978,6.080151367,3,ml,34,54,0.07638086857,0.2,tx,tx2023eavt,2023-02-27T16:28:25.079Z,"western Texas",earthquake,0.6440216469,1.443648961,0.1,19,reviewed,tx,tx
2023-02-27T09:04:35.883Z,31.64428938,-104.176949,6.131567383,3,ml,46,54,0.0792911906,0.3,tx,tx2023eavq,2023-02-27T16:50:48.966Z,"western Texas",earthquake,0.6078515504,0.6783660882,0.1,26,reviewed,tx,tx
2023-02-27T06:10:08.642Z,31.63946508,-104.176648,6.157275391,2.7,ml,41,65,0.07515569572,0.2,tx,tx2023eapw,2023-02-27T16:27:14.040Z,"51 km NW of Toyah, Texas",earthquake,0.6703646788,0.6677453367,0.2,22,reviewed,tx,tx
2023-02-26T19:26:15.510Z,35.6398333,-117.4556667,7.41,2.81,ml,41,59,0.05348,0.12,ci,ci40418976,2023-03-01T16:43:39.040Z,"15km SSW of Searles Valley, CA",earthquake,0.14,0.41,0.17,25,reviewed,ci,ci
2023-02-26T15:00:21.600Z,36.1246666666667,-89.7333333333333,5.53,2.56,md,61,57,0.02579,0.22,nm,nm60512801,2023-03-01T19:50:59.596Z,"9 km ENE of Steele, Missouri",earthquake,0.29,0.65,0.0698318642650171,53,reviewed,nm,nm
2023-02-25T07:31:39.133Z,38.1785,-117.797,10.2,3,ml,12,57.28,0.124,0.1729,nn,nn00856380,2023-02-27T19:40:33.591Z,"36 km SE of Mina, Nevada",earthquake,,1.5,0.23,8,reviewed,nn,nn
2023-02-24T15:28:00.374Z,31.68067827,-104.4059937,5.668823242,2.7,ml,17,65,0.03307507648,0.1,tx,tx2023dvvu,2023-02-24T19:46:24.236Z,"54 km S of Whites City, New Mexico",earthquake,1.05415901,1.338211102,0.1,19,reviewed,tx,tx
2023-02-24T03:36:17.542Z,36.9678,-104.8329,5,2.6,ml,13,81,0.159,0.4,us,us6000jr6i,2023-02-24T03:41:22.040Z,"18 km S of Weston, Colorado",earthquake,3.53,1.998,0.067,29,reviewed,us,us
2023-02-24T00:17:54.441Z,42.9833,-111.1582,11.862,3.3,ml,48,61,0.222,0.6,us,us6000jr5d,2023-02-25T15:23:18.622Z,"9 km W of Freedom, Idaho",earthquake,2.49,8.12,0.043,71,reviewed,us,us
2023-02-23T22:45:39.893Z,43.0063,-111.2307,13.218,2.8,ml,33,88,0.259,0.51,us,us6000jr4u,2023-02-24T02:08:22.343Z,"15 km W of Freedom, Idaho",earthquake,2.48,7.879,0.045,64,reviewed,us,us
2023-02-22T23:44:02.210Z,39.144,-123.2608333,5.6,2.64,md,55,47,0.06915,0.11,nc,nc73850431,2023-02-27T17:28:14.330Z,"4km W of Ukiah, CA",earthquake,0.17,0.91,0.233,55,reviewed,nc,nc
2023-02-22T20:01:57.170Z,38.8215,-122.8546667,2.29,2.91,ml,74,26,0.006277,0.06,nc,nc73850276,2023-03-02T22:32:50.040Z,"10km WNW of The Geysers, CA",earthquake,0.12,0.16,0.111,57,reviewed,nc,nc
2023-02-22T18:22:12.682Z,38.1577,-117.8891,8.7,3.5,ml,13,80.53,0.059,0.1197,nn,nn00856288,2023-03-02T22:10:04.040Z,"32 km SE of Mina, Nevada",earthquake,,1.2,0.21,9,reviewed,nn,nn
2023-02-22T16:48:46.740Z,31.67637027,-104.431795,6.851391602,2.6,ml,17,54,0.00638348194,0.1,tx,tx2023dshl,2023-02-23T11:10:03.986Z,"55 km S of Whites City, New Mexico",earthquake,1.099045361,0.901438438,0.1,27,reviewed,tx,tx
2023-02-22T15:48:21.610Z,40.5595,-124.2203333,15.63,3.07,ml,34,70,0.03697,0.11,nc,nc73850141,2023-02-26T08:23:37.105Z,"4km ESE of Ferndale, CA",earthquake,0.34,0.46,0.241,23,reviewed,nc,nc
2023-02-22T13:19:38.057Z,31.67217441,-104.3703876,6.234399414,2.5,ml,20,57,0.05493712214,0.1,tx,tx2023dsan,2023-03-01T09:50:19.040Z,"55 km S of Whites City, New Mexico",earthquake,0.6495278757,0.9817779598000002,0.1,28,reviewed,tx,tx
2023-02-22T11:49:48.645Z,31.66921585,-104.3657864,6.620019531,3.1,ml,40,46,0.05796417111,0.2,tx,tx2023drxo,2023-02-22T20:18:44.568Z,"56 km S of Whites City, New Mexico",earthquake,0.7434584312,1.056199107,0.2,25,reviewed,tx,tx
2023-02-22T11:31:00.650Z,31.66775369,-104.414489,4.897583008,2.6,ml,28,45,0.01891068981,0.2,tx,tx2023drwz,2023-02-22T21:01:01.121Z,"56 km S of Whites City, New Mexico",earthquake,1.087391024,1.287886703,0.1,16,reviewed,tx,tx
2023-02-22T11:19:41.506Z,31.674043,-104.365559,6.131567383,3.2,ml,37,46,0.05942307296,0.2,tx,tx2023drwp,2023-02-22T19:48:24.115Z,"55 km S of Whites City, New Mexico",earthquake,0.6782351348,0.7253531005,0.1,18,reviewed,tx,tx
